/project/p_gnn001/code/gnn_clean_code/simple_code_mlp2.py:50: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  data = [torch.tensor(d, dtype=torch.float32) for d in data]
GenAggModel
Epoch 311/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 321/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 331/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 341/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 351/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 361/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 371/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 381/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 391/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 401/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 411/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 421/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 431/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 441/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 451/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 461/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 471/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 481/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 491/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 501/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 511/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 521/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 531/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 541/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 551/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 561/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 571/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 581/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 591/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 601/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 611/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 621/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 631/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 641/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 651/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 661/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 671/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 681/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 691/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 701/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 711/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 721/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 731/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 741/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 751/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 761/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 771/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 781/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 791/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 801/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 811/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 821/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 831/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 841/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 851/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 861/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 871/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 881/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 891/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 901/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 911/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 921/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 931/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 941/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 951/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 961/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 971/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 981/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 991/1000, Train Loss: 0.0026, Val Loss: 0.0026
train_loss :  0.002641040802001953
Test Loss: 0.0000
GenAggModel
Epoch 1/1000, Train Loss: 49.4769, Val Loss: 48.9953
Epoch 11/1000, Train Loss: 1.4109, Val Loss: 0.9343
Epoch 21/1000, Train Loss: 0.5807, Val Loss: 0.5785
Epoch 31/1000, Train Loss: 0.5232, Val Loss: 0.5260
Epoch 41/1000, Train Loss: 0.4941, Val Loss: 0.5009
Epoch 51/1000, Train Loss: 0.4829, Val Loss: 0.4948
Epoch 61/1000, Train Loss: 0.4787, Val Loss: 0.4885
Epoch 71/1000, Train Loss: 0.4769, Val Loss: 0.4873
Epoch 81/1000, Train Loss: 0.4763, Val Loss: 0.4867
Epoch 91/1000, Train Loss: 0.4761, Val Loss: 0.4864
Epoch 101/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 111/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 121/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 131/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 141/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 151/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 161/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 171/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 181/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 191/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 201/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 211/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 221/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 231/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 241/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 251/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 261/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 271/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 281/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 291/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 301/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 311/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 321/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 331/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 341/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 351/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 361/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 371/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 381/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 391/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 401/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 411/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 421/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 431/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 441/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 451/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 461/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 471/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 481/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 491/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 501/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 511/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 521/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 531/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 541/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 551/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 561/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 571/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 581/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 591/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 601/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 611/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 621/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 631/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 641/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 651/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 661/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 671/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 681/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 691/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 701/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 711/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 721/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 731/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 741/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 751/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 761/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 771/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 781/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 791/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 801/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 811/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 821/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 831/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 841/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 851/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 861/1000, Train Loss: 0.4761, Val Loss: 0.4863
